id,age,gender,switch.h2w,switch.w2h,gcos.auto,gcos.cont,gcos.impe,mvs.intrinsic,mvs.integrated,mvs.identified,mvs.introjected,mvs.external,mvs.amotivation,triptype,info,familiarity,choice,time
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,W2H,C,P,1,15
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,H2W,V,P,1,10
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,W2F,V,P,1,10
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,H2F,F,P,1,10
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,W2H,F,R,1,10
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,H2W,C,R,1,10
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,W2F,V,R,1,10
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,H2F,B,L,1,10
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,W2H,B,L,1,10
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,H2W,F,P,1,10
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,W2F,F,P,1,5
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,H2F,C,R,1,10
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,W2H,C,R,1,23
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,H2W,C,P,1,20
4,52,Male,Once a week,Twice a week or more,4.92,4.83,4.25,4,3,3.75,2.75,3.75,3,W2F,F,P,1,45
